policy,method_key,Expected unmet,Worst-case unmet,Transfer burden,Total surge beds,Runtime (s),origin,budget_fraction,transfer_cap
Status quo (no surge),status_quo,103.8216334,519.108167,10197.483305739805,0.0,2.1457672119140625e-06,2021-12-29,0.2,
Population-proportional,population_proportional,28.96224658,144.8112329,3119.8043249524853,212.73000000000002,1.7404556274414062e-05,2021-12-29,0.2,
Demand-proportional,demand_proportional,28.96224636,144.8112318,2615.273789660607,212.73000000000005,4.5299530029296875e-05,2021-12-29,0.2,
Greedy shortage-first,greedy_shortage_first,28.962246600000004,144.81123300000002,1140.0033655579496,212.73000000000002,7.702940464019775,2021-12-29,0.2,
Deterministic MILP,deterministic_milp,83.2811618,416.40580900000003,1175.0726207595987,51.35117963,0.023394107818603516,2021-12-29,0.2,
"Robust MILP (CVaR, $\lambda_3{=}1$)",robust_milp_cvar1,28.962246600000004,144.81123300000002,671.6830134678275,212.73000000000002,0.028773784637451172,2021-12-29,0.2,
Status quo (no surge),status_quo,138.842100122,550.0103031,3932.98019614346,0.0,2.1457672119140625e-06,2021-12-29,0.2,20.0
Population-proportional,population_proportional,38.26267592,167.8850839,2137.893012043616,212.73000000000002,1.4781951904296875e-05,2021-12-29,0.2,20.0
Demand-proportional,demand_proportional,38.22523332,163.148487,2355.5831295800954,212.73000000000005,4.1484832763671875e-05,2021-12-29,0.2,20.0
Greedy shortage-first,greedy_shortage_first,29.135543110000004,145.67771555000002,1111.6063341876848,212.73000000000002,8.119900465011597,2021-12-29,0.2,20.0
Deterministic MILP,deterministic_milp,83.2811618,416.40580900000003,1175.0726207595987,51.35117963,0.015296697616577148,2021-12-29,0.2,20.0
"Robust MILP (CVaR, $\lambda_3{=}1$)",robust_milp_cvar1,29.135543229999996,145.67771614999998,658.7442980198098,212.73000000000002,0.031473636627197266,2021-12-29,0.2,20.0
Status quo (no surge),status_quo,156.8421002,570.010303,2274.8000404932145,0.0,1.9073486328125e-06,2021-12-29,0.2,10.0
Population-proportional,population_proportional,48.80435100199999,190.59345900999998,1464.2365373323132,212.73000000000002,2.8848648071289062e-05,2021-12-29,0.2,10.0
Demand-proportional,demand_proportional,51.44057242,199.2251831,1415.214090284853,212.73000000000005,6.389617919921875e-05,2021-12-29,0.2,10.0
Greedy shortage-first,greedy_shortage_first,32.24861562,155.677716,742.3265712346126,212.73000000000002,8.154266119003296,2021-12-29,0.2,10.0
Deterministic MILP,deterministic_milp,84.39423422,416.40580900000003,1174.133256735699,51.35117963,0.07941770553588867,2021-12-29,0.2,10.0
"Robust MILP (CVaR, $\lambda_3{=}1$)",robust_milp_cvar1,32.24861562,155.677716,526.3976801058328,212.729999,0.03889274597167969,2021-12-29,0.2,10.0
Status quo (no surge),status_quo,167.37168469800002,587.6582254900001,1546.3253869904645,0.0,1.9073486328125e-06,2021-12-29,0.2,5.0
Population-proportional,population_proportional,56.92543416000001,216.1988748,841.4397562694816,212.73000000000002,3.24249267578125e-05,2021-12-29,0.2,5.0
Demand-proportional,demand_proportional,61.44057242,234.2251831,697.5700457438402,212.73000000000005,4.00543212890625e-05,2021-12-29,0.2,5.0
Greedy shortage-first,greedy_shortage_first,36.24861562,160.677716,466.46939837627315,212.73000000000002,11.625726222991943,2021-12-29,0.2,5.0
Deterministic MILP,deterministic_milp,88.923818798,424.05373189,914.7004628278642,51.35117963,0.04794788360595703,2021-12-29,0.2,5.0
"Robust MILP (CVaR, $\lambda_3{=}1$)",robust_milp_cvar1,36.24861562,160.677716,377.0731211573968,212.729999,0.09313488006591797,2021-12-29,0.2,5.0
