policy,method_key,Scenario-weighted unmet,Worst-case unmet,Transfer burden,Total surge beds,Runtime (s),origin
Status quo (no surge),status_quo,103.8216334,519.108167,10197.483305739805,0.0,0.0,2021-12-29
Population-proportional,population_proportional,28.96224658,144.8112329,3119.8043249524853,212.73000000000002,0.0,2021-12-29
Demand-proportional,demand_proportional,28.96224636,144.8112318,2615.273789660607,212.73000000000005,0.0,2021-12-29
Greedy shortage-first,greedy_shortage_first,28.962246600000004,144.81123300000002,1140.0033655579496,212.73000000000002,8.974653720855713,2021-12-29
Deterministic LP,deterministic_milp,83.2811618,416.40580900000003,1175.0726207595987,51.35117963,0.03197765350341797,2021-12-29
Risk-averse LP ($\lambda_3{=}1$),robust_milp_cvar1,28.96224662,144.81123309999998,671.6830134678275,212.73000000000002,0.04607987403869629,2021-12-29
Status quo (no surge),status_quo,162.2703504,811.351752,14741.242112615259,0.0,0.0,2022-01-05
Population-proportional,population_proportional,63.891032540000005,319.4551627,3742.648224300595,212.73000000000002,0.0,2022-01-05
Demand-proportional,demand_proportional,63.89103270000001,319.4551635,2599.797702203339,212.73000000000008,0.0,2022-01-05
Greedy shortage-first,greedy_shortage_first,63.891032499999994,319.4551625,1252.77872333121,212.73000000000002,9.42948865890503,2022-01-05
Deterministic LP,deterministic_milp,114.93485740000001,574.674287,2212.096883954278,85.120437,0.03056955337524414,2022-01-05
Risk-averse LP ($\lambda_3{=}1$),robust_milp_cvar1,63.8910328,319.45516399999997,820.2978295450629,212.73,0.022634029388427734,2022-01-05
Status quo (no surge),status_quo,42.79153504,213.95767519999998,3639.1289295044417,0.0,0.0,2022-01-12
Population-proportional,population_proportional,0.0,0.0,4075.0965268887985,212.73000000000002,0.0,2022-01-12
Demand-proportional,demand_proportional,0.0,0.0,3854.5945179266773,212.73000000000002,0.0,2022-01-12
Greedy shortage-first,greedy_shortage_first,1.33906352,6.6953176,1050.5557743943386,202.925,8.892010927200317,2022-01-12
Deterministic LP,deterministic_milp,42.79153504,213.95767519999998,3639.1289295044417,0.0,0.03202939033508301,2022-01-12
Risk-averse LP ($\lambda_3{=}1$),robust_milp_cvar1,0.0,0.0,935.6565866504013,212.73,0.034523725509643555,2022-01-12
Status quo (no surge),status_quo,15.6109324,78.054662,3484.840825358281,0.0,0.0,2022-01-19
Population-proportional,population_proportional,0.0,0.0,1533.5004226985557,212.73000000000002,0.0,2022-01-19
Demand-proportional,demand_proportional,0.0,0.0,1399.7371619829635,212.73000000000002,0.0,2022-01-19
Greedy shortage-first,greedy_shortage_first,0.0,0.0,2737.8444927418723,79.0,3.4976022243499756,2022-01-19
Deterministic LP,deterministic_milp,15.6109324,78.054662,3484.840825358281,0.0,0.029021024703979492,2022-01-19
Risk-averse LP ($\lambda_3{=}1$),robust_milp_cvar1,0.0,0.0,0.0,151.8388591,0.02266836166381836,2022-01-19
Status quo (no surge),status_quo,0.0,0.0,3987.332644064465,0.0,0.0,2022-01-26
Population-proportional,population_proportional,0.0,0.0,457.1444335830581,212.73000000000002,0.0,2022-01-26
Demand-proportional,demand_proportional,0.0,0.0,291.88684306510436,212.73000000000002,0.0,2022-01-26
Greedy shortage-first,greedy_shortage_first,0.0,0.0,3987.332644064465,0.0,0.04168844223022461,2022-01-26
Deterministic LP,deterministic_milp,0.0,0.0,3987.332644064465,0.0,0.03591632843017578,2022-01-26
Risk-averse LP ($\lambda_3{=}1$),robust_milp_cvar1,0.0,0.0,0.0,103.23093970000001,0.03250265121459961,2022-01-26
Status quo (no surge),status_quo,0.0,0.0,953.0626195481508,0.0,0.0,2022-02-02
Population-proportional,population_proportional,0.0,0.0,38.619898860330416,212.73000000000002,0.0,2022-02-02
Demand-proportional,demand_proportional,0.0,0.0,15.011004549982736,212.73000000000005,0.0,2022-02-02
Greedy shortage-first,greedy_shortage_first,0.0,0.0,953.0626195481508,0.0,0.043201446533203125,2022-02-02
Deterministic LP,deterministic_milp,0.0,0.0,953.0626195481508,0.0,0.021542787551879883,2022-02-02
Risk-averse LP ($\lambda_3{=}1$),robust_milp_cvar1,0.0,0.0,0.0,34.4550173,0.033799171447753906,2022-02-02
Status quo (no surge),status_quo,0.0,0.0,383.0793775135962,0.0,0.0,2022-02-09
Population-proportional,population_proportional,0.0,0.0,24.578027672056976,212.73000000000002,0.0,2022-02-09
Demand-proportional,demand_proportional,0.0,0.0,0.0,212.73000000000002,0.0,2022-02-09
Greedy shortage-first,greedy_shortage_first,0.0,0.0,383.0793775135962,0.0,0.043070077896118164,2022-02-09
Deterministic LP,deterministic_milp,0.0,0.0,383.0793775135962,0.0,0.026958227157592773,2022-02-09
Risk-averse LP ($\lambda_3{=}1$),robust_milp_cvar1,0.0,0.0,0.0,30.052152,0.032984256744384766,2022-02-09
Status quo (no surge),status_quo,0.0,0.0,257.07612619286647,0.0,0.0,2022-02-16
Population-proportional,population_proportional,0.0,0.0,0.0,212.73000000000002,0.0,2022-02-16
Demand-proportional,demand_proportional,0.0,0.0,0.0,212.73000000000002,0.0,2022-02-16
Greedy shortage-first,greedy_shortage_first,0.0,0.0,257.07612619286647,0.0,0.03900504112243652,2022-02-16
Deterministic LP,deterministic_milp,0.0,0.0,257.07612619286647,0.0,0.02756500244140625,2022-02-16
