policy,method_key,Expected unmet,Worst-case unmet,Transfer burden,Total surge beds,Runtime (s),origin,budget_fraction
Status quo (no surge),status_quo,103.8216334,519.108167,10197.483305739805,0.0,0.0,2021-12-29,0.1
Population-proportional,population_proportional,61.275633600000006,306.378168,4532.548085946179,106.36500000000001,0.0,2021-12-29,0.1
Demand-proportional,demand_proportional,61.275633860000006,306.3781693,3374.854893920805,106.36500000000002,0.0,2021-12-29,0.1
Greedy shortage-first,greedy_shortage_first,61.27563362,306.3781681,1134.9953922126465,106.36500000000001,4.394410610198975,2021-12-29,0.1
Deterministic LP,deterministic_milp,83.2811618,416.40580900000003,1175.0726207595987,51.35117963,0.034958839416503906,2021-12-29,0.1
Robust LP ($\lambda_3{=}1$),robust_milp_cvar1,61.27563378,306.3781689,982.4975853431583,106.36499963,0.035965681076049805,2021-12-29,0.1
Status quo (no surge),status_quo,103.8216334,519.108167,10197.483305739805,0.0,0.0,2021-12-29,0.15
Population-proportional,population_proportional,40.002633720000006,200.01316860000003,4982.738615214885,159.5475,0.0,2021-12-29,0.15
Demand-proportional,demand_proportional,40.0026336,200.013168,3748.9873753011434,159.54750000000004,0.0,2021-12-29,0.15
Greedy shortage-first,greedy_shortage_first,40.0026336,200.013168,2583.294767179864,159.5475,7.489675045013428,2021-12-29,0.15
Deterministic LP,deterministic_milp,83.2811618,416.40580900000003,1175.0726207595987,51.35117963,0.04299807548522949,2021-12-29,0.15
Robust LP ($\lambda_3{=}1$),robust_milp_cvar1,40.0026336,200.013168,1130.7378053412203,159.54749999999999,0.06194925308227539,2021-12-29,0.15
Status quo (no surge),status_quo,103.8216334,519.108167,10197.483305739805,0.0,0.0,2021-12-29,0.2
Population-proportional,population_proportional,28.96224658,144.8112329,3119.8043249524853,212.73000000000002,0.0,2021-12-29,0.2
Demand-proportional,demand_proportional,28.96224636,144.8112318,2615.273789660607,212.73000000000005,0.0,2021-12-29,0.2
Greedy shortage-first,greedy_shortage_first,28.962246600000004,144.81123300000002,1140.0033655579496,212.73000000000002,10.781863689422607,2021-12-29,0.2
Deterministic LP,deterministic_milp,83.2811618,416.40580900000003,1175.0726207595987,51.35117963,0.05075716972351074,2021-12-29,0.2
Robust LP ($\lambda_3{=}1$),robust_milp_cvar1,28.96224662,144.81123309999998,671.6830134678275,212.73000000000002,0.04099273681640625,2021-12-29,0.2
