policy,method_key,Scenario-weighted unmet,Worst-case unmet,Transfer burden,Total surge beds,Runtime (s),origin,budget_fraction,tau_min
Status quo (no surge),status_quo,103.8216334,519.108167,10197.483305739805,0.0,6.198883056640625e-06,2021-12-29,0.2,240.0
Population-proportional,population_proportional,28.96224658,144.8112329,3119.8043249524853,212.73000000000002,2.09808349609375e-05,2021-12-29,0.2,240.0
Demand-proportional,demand_proportional,28.96224636,144.8112318,2615.273789660607,212.73000000000005,6.198883056640625e-05,2021-12-29,0.2,240.0
Greedy shortage-first,greedy_shortage_first,28.962246600000004,144.81123300000002,1140.0033655579496,212.73000000000002,7.127246856689453,2021-12-29,0.2,240.0
Deterministic MILP,deterministic_milp,83.2811618,416.40580900000003,1175.0726207595987,51.35117963,0.023886919021606445,2021-12-29,0.2,240.0
"Risk-averse LP ($\lambda_3{=}1$)",robust_milp_cvar1,28.96224662,144.81123309999998,671.6830134678275,212.73000000000002,0.028264522552490234,2021-12-29,0.2,240.0
Status quo (no surge),status_quo,103.8216334,519.108167,10197.483305739805,0.0,2.86102294921875e-06,2021-12-29,0.15,240.0
Population-proportional,population_proportional,40.002633720000006,200.01316860000003,4982.738615214885,159.5475,1.811981201171875e-05,2021-12-29,0.15,240.0
Demand-proportional,demand_proportional,40.0026336,200.013168,3748.9873753011434,159.54750000000004,4.744529724121094e-05,2021-12-29,0.15,240.0
Greedy shortage-first,greedy_shortage_first,40.0026336,200.013168,2583.294767179864,159.5475,5.459018230438232,2021-12-29,0.15,240.0
Deterministic MILP,deterministic_milp,83.2811618,416.40580900000003,1175.0726207595987,51.35117963,0.01465296745300293,2021-12-29,0.15,240.0
"Risk-averse LP ($\lambda_3{=}1$)",robust_milp_cvar1,40.0026336,200.013168,1130.7378053412203,159.54749999999999,0.02169346809387207,2021-12-29,0.15,240.0
Status quo (no surge),status_quo,103.8216334,519.108167,10197.483305739805,0.0,2.1457672119140625e-06,2021-12-29,0.1,240.0
Population-proportional,population_proportional,61.275633600000006,306.378168,4532.548085946179,106.36500000000001,2.4080276489257812e-05,2021-12-29,0.1,240.0
Demand-proportional,demand_proportional,61.275633860000006,306.3781693,3374.854893920805,106.36500000000002,4.029273986816406e-05,2021-12-29,0.1,240.0
Greedy shortage-first,greedy_shortage_first,61.27563362,306.3781681,1134.9953922126465,106.36500000000001,3.829094409942627,2021-12-29,0.1,240.0
Deterministic MILP,deterministic_milp,83.2811618,416.40580900000003,1175.0726207595987,51.35117963,0.017628908157348633,2021-12-29,0.1,240.0
"Risk-averse LP ($\lambda_3{=}1$)",robust_milp_cvar1,61.27563378,306.3781689,982.4975853431583,106.36499963,0.02387547492980957,2021-12-29,0.1,240.0
Status quo (no surge),status_quo,149.172427738,602.4753788,1508.4744272969976,0.0,2.1457672119140625e-06,2021-12-29,0.2,120.0
Population-proportional,population_proportional,34.91440652,174.5720326,1674.1804184122486,212.73000000000002,2.2411346435546875e-05,2021-12-29,0.2,120.0
Demand-proportional,demand_proportional,32.30517056,161.5258528,1884.2978829717888,212.73000000000005,3.838539123535156e-05,2021-12-29,0.2,120.0
Greedy shortage-first,greedy_shortage_first,34.021428400000005,170.107142,269.8621072239423,212.73000000000002,6.726633310317993,2021-12-29,0.2,120.0
Deterministic MILP,deterministic_milp,86.12807226000001,430.6403613,527.7595475523271,51.35117963,0.017490625381469727,2021-12-29,0.2,120.0
"Risk-averse LP ($\lambda_3{=}1$)",robust_milp_cvar1,29.913709200000007,149.56854600000003,443.9344512588667,212.73000000000002,0.046944379806518555,2021-12-29,0.2,120.0
Status quo (no surge),status_quo,149.172427738,602.4753788,1508.4744272969976,0.0,2.1457672119140625e-06,2021-12-29,0.15,120.0
Population-proportional,population_proportional,49.07391212,245.3695606,2106.283470984017,159.5475,1.71661376953125e-05,2021-12-29,0.15,120.0
Demand-proportional,demand_proportional,45.992577680000004,229.9628884,2131.9342012800994,159.54750000000004,3.933906555175781e-05,2021-12-29,0.15,120.0
Greedy shortage-first,greedy_shortage_first,48.257928480000004,241.2896424,323.1308122137208,159.5475,4.760834455490112,2021-12-29,0.15,120.0
Deterministic MILP,deterministic_milp,86.12807226000001,430.6403613,527.7595475523271,51.35117963,0.016742706298828125,2021-12-29,0.15,120.0
"Risk-averse LP ($\lambda_3{=}1$)",robust_milp_cvar1,42.405385620000004,212.02692810000002,493.89658106557215,159.54749999999999,0.01873946189880371,2021-12-29,0.15,120.0
Status quo (no surge),status_quo,149.172427738,602.4753788,1508.4744272969976,0.0,1.6689300537109375e-06,2021-12-29,0.1,120.0
Population-proportional,population_proportional,70.58694019999999,347.48172159999996,2515.1769062878006,106.36500000000001,1.4781951904296875e-05,2021-12-29,0.1,120.0
Demand-proportional,demand_proportional,66.06984706000001,330.34923530000003,2227.2792559233976,106.36500000000002,4.315376281738281e-05,2021-12-29,0.1,120.0
Greedy shortage-first,greedy_shortage_first,64.20778055999999,321.03890279999996,473.83183328550103,106.36500000000001,3.136441946029663,2021-12-29,0.1,120.0
Deterministic MILP,deterministic_milp,86.12807226000001,430.6403613,527.7595475523271,51.35117963,0.01734304428100586,2021-12-29,0.1,120.0
"Risk-averse LP ($\lambda_3{=}1$)",robust_milp_cvar1,63.678385600000006,318.391928,407.3585119519571,106.3650004,0.04396963119506836,2021-12-29,0.1,120.0
